Bib,Inst,Var,Const,DomConst,CoverI,Nodes,Gap,CPU
0,scenario_1.txt,47105,145297,0,0,0,202.14,9.08
0,scenario_10.txt,19112,58960,0,0,0,120.18,10.31
0,scenario_11.txt,55881,172291,0,0,0,65.31,11.16
0,scenario_12.txt,29295,90423,0,0,0,132.04,4.18
0,scenario_13.txt,34081,105199,0,0,0,99.92,5.25
0,scenario_14.txt,38822,119806,0,0,0,92.73,12.08
0,scenario_15.txt,56507,174181,0,0,0,259.0,10.26
0,scenario_16.txt,33379,103057,0,0,0,79.78,6.94
0,scenario_17.txt,43915,135489,0,0,0,568.43,4.86
0,scenario_18.txt,39127,120739,0,0,0,594.32,5.47
0,scenario_19.txt,53210,164064,0,0,0,169.61,9.52
0,scenario_2.txt,47405,146209,0,0,0,306.57,5.54
0,scenario_20.txt,49725,153355,0,0,0,389.03,5.01
0,scenario_3.txt,56331,173641,0,0,0,234.85,6.19
0,scenario_4.txt,50671,156253,0,0,0,214.56,6.43
0,scenario_5.txt,56348,173692,0,0,0,779.87,9.53
0,scenario_6.txt,49575,152905,0,0,0,307.18,16.23
0,scenario_7.txt,38447,118663,0,0,0,202.66,9.65
0,scenario_8.txt,59840,184414,0,0,0,554.67,9.43
0,scenario_9.txt,67073,206605,0,0,0,200.72,19.62
